[0s]	ಸ್್ಜೆನಹಂಗನನುಲಲದ ಹತೊಡಲಾಹಮೆ ಟಾಾ
[30s]	ಟಟಜಂಗಲ್ ನೈಡಿ್ ಮಾನ ಸ್ರೂಮಾಲ್ಲೈನರ್ದೆ ಹಂದುಮಾಯದ್ಯುಂದೆ ನೊ್ಮನಯಾ ಹಹದಿ ಉತದಿದ ಇಲಿಸ್ಟು ಭಡಾದ ವಸ್ತು ಹುನಿದೇಶ ಎಲೆಸ್ ಯ ಗಿಳುರು ಜನ ನೆಗೆದಲ ರಈ ವಯು ಸಲಯೊಗ್ಗಿನಎಲ್ಲಾಗುದ್ದು ಆ ಇನೋ ಅರಗ್ಯಸವ ಆಗುವಿ ಸೈಡಿಸ್ವಲ್ವ ಇವ್ಯಹ್ಹ ಸೆಟ್ಟ ಆರ್ತರಿನಲದೆ ಪ್ರೂಕ್ಷ್ ಫಾಗಲ ಅಲೂ ಶಾಗದಯನಾಗದೆ ಅದೂ ಶಾತರಯಸಲುಲದು ಎಲ್ಜಾ್ ಒದರೆ ಉಷ್ಟ ಇಟರ್ ಮಹಿಸಲ ಹಂಗಲೂಗಲೊ ಅದೊಹದನು ಹಂಸಹಳೆ ಆದ ಅಸೋಹ ಅಂಹಿ ಸೇಳ
[60s]	ಮವಲ್ನಾಹಡು ಈ ಜಲಸ್ಮಣೆ ಅಗಿಳಾದಸ ವಸ್ನೆ ಮಾಡದೆ ಸ್ವಲ್ಪನಹೆ ಒಟಾಜೂಕ್ಸ್ಿ ಧ್ರಾಹ್ಶೃಸ್ತಯ ತೊಡೆದೆು ಈ ಹಿಡಾವದಾಯವು ಪ್ರೈವಲಿ ಲೋಸನೆಲಾಗಹಿದ್ಯ ಜನನ  ವೆಮ್ಮ ಜಿಮ್್ರೈವಲಿಹೋ ಸ ಗೌದಿಹೋಲು ವಿಲಾದದು ನೀಳೆಹೋದಗಲಇ್ಲಲಅದಹೇಳದಲ್ಲ ಹೊಸ ೆ ಒಂದರಿದ ವಿಧಸಹುಳಲಾಳದೇುತರ್
[90s]	ವ್ಲಯ ಅವುದ ಇವಲ್ಲೋ ಲೋಲ್ಯನನಾಂದೆ ಈ ಇಿಳವೂ ಎರಡೋಷ್ಶಾ ಯುಳ್ಳ ಹೆಸ್ ನಾಂದು ಶಾಲವೂ ಸಹೋರ್ಗಳು ಒಂದು ಅರುಷವ ಎರಡೋಲ ಆಮೆ ಸೌದ್ಯಾಯದನಲ್ಲದೆ ಒಣಹದು ಅದಾಲ್ ಉದ್ಯಾಜ್ಧಿನಲ್ಲ ಒಣದಔೌುದಾಯಗದರು ಒಳದ ದೂಜ್ನಿನಾಲ್ದ ತೊದ್ಲಿ ಓೋಯೋ ಗವದಾಲದೆ ಅದೋರಲ್ಲಲಾದ
[120s]	ಸಾತ್ರನಲ್ಲ ಸ್ರೀಯಿಂದ ನವುವೃದ್ಧೆ ಅಲೆಯುಂು ನಅರ್ಧಾರದ ಹೊಗಲಿಯೇ ತ್ಯಾಳಶೆಂಬಂದಿದ ಅಧ್ಯನ ದ ಅವತಾಯರೆ ಅಲಿ ಗೌರಿದುದ್ದದೆ ಹೂಗಿತು ಶಮನು ದಲಸಿತ್ತದೆು ತೌಲಿ್ಯೆನ್ ವಿದ್ಧೋನಲ ಯೂಸಿಗಿನ್ ಆಲ್ಗ ಧರಣೆ ಬಾವದಲೇ ಇವ ಂುಸ್ಸಿ ಗಲು ಸಲ್ತಿ ಶಸಿಹ ವೊಂದ ಒಂದುವರಡಿ ಎಢಣೆ ಸುತ್ತಲಲೇ ಒಂದು ಮೂಮಹಹಿಡರಲ್ಲಿ ನಡಯವೆ ಒಂದಳೇ ಸಸ್ಮೆರಿಯ ನರ್ದಿನ್ನು ಸರಸ್ಯಹರ ಿಹಸಸ್ಯಹ್ದ ಅದು ನೆಕ್ಸ್ಸೋಂ ಹಿಜ್ಿ ಯಾಜಿವೇನ
[150s]	ಎಜಗದಲ್ಲಿದ ಸರ್ನಿಲ ತರಹ ಯುನೂಲ ನುಜನ ಯುಮೂ ಮನಅಂ್ಬ ಹಾಸ್ತ ಗಳಿಯರ ಮಾಗುಡನಿಸಲ್ಪ ತಾಯಿಲ್ಲು ಯಾಗ್ಯಲರೆ ಈ ಅವು ಗೊರೈವಳಿ ವಸ್ತ್ ಹೋತುಮೆಲೆ ಸೆಹೆಂಡಣು ವಸ್ತು ಕನೈ್ಶಿಡ್ಸುವಹು ಇುಹಿಡಿ ಯು ಮೂರು ಮರ್ಧುನಿಯವೂ ನಶ್್ಕ್ ನೋಡವನೆ ಎಲ್ಲಾ ಮರ ನಿರ್ವಹಹಗೆ ಯಾಮರರಂಗಿ ಮಲ್ಕಿ ನೆರಳುಗಳಲ ಮೊಸಹಡಿದ ಯಾವಾನು ಹೀಮರ್ಲ್ ನೆರನುೊಳಲ ಆದಾನೇ ಯ
[180s]	ಸತು ಗವೆಲಗಳೂ ಹೂ ದಾಶಿಲ್ಹೂಮಲನಗಲು ಅಂದ ಜಾಸಂಂಶಂಸಂಲನಾನ್ಯ ಾಶಂಸಂಸಂಜರಸಂಸು ಹಹಮ ನನ್ ನಾಆವರಸ್ವವ್ಳೇಹಅವಾದ ಏಶಶಗಳಲ್ಲಿ ಜನವೊಂದರೆ ಈ ಮಾದರರು ಆರದ ದ ಸ್ಮಳದೊರೆ ಆವರಳಹೂ ಮಳೆಯೆು
[210s]	ವ್ಯಮಾಣಿ ಸ್ಮ ಮೂಲ್ನ ಅಂಟೊಮಲ್್ನರು ಇಮಾಗಳಸ್ ಹೊಂದ ಜರಮಾದಒಂದೇಜಾದಿನನಾ ಹೌದಿಯೂ ಒದೇಜಾತಿ ನೊನ್ಲಿದ ಅಂ್ಳೋಂಟಿಸಿ ಸಂಯುಂ್ದವೆ ಅನ್ಗೆ ಲೇರವರ ಮಾತದಾದೆ ನೇ್ವದೇ ಮರದ ದೇರೆವರು ಹಿಂಪ್ರಿರಿಸಳೊತ್ತದೇ ಬೇರೆವೆದೇ ಮಲದಿಂದ ಲೇವಿದ ಅಟ್ಳಂಡಿಸಿಂದ ಹಿದಿಗೆ ಅರಗಳಳು ಜಾಯು ವಿಧನ ಹಳು  ುಬನಾಗಳ ಒದೇ ರೇಶ್ನುಗಳೇ ರ್ಯಷ್ನೂನೂವಳ ಹೊಸ ಹುದ್ಮ ಅದಯೂಮೀವು ಸಾಧರನು ವಿ ಸಾಂಹಿಲ್ ಬಳಳಗಳೆ ಮಾಡುವ್ಯಾಗರಿಂ್ಲ
[240s]	ಯುವಶ್ಯಯೇಸಲನ್ನೂು ಮಡುವಲ ಈ ಮರ ವಳೇಶುವ ಸ್ನ ಆಮಾ ವೇರಗಳ ಸವ ಹು ಮರ್ಸ್ಇಂ್ಸೆ ಆಯೋದು ಎಂಟರೊಳ ಅವಆಲಶ ಅ್ಂದ ಅವಾದಲಿರುವಾಗುಳ ಾವಡಿಗಲಿ ುಇವು ಇಿಮದು ಜ್ಞಾಂಳಹೂ ಸೆಹದ ಇಳೆಯಲು ಆರು ಸ್ಪರ್ಡ ವಾಗರಿದೆ ಅದ ಯುನಿಒಲೂದದಹ್ಹಾಣಲ್ಮಾಲ್ ಇನ್ನೂಗ್ರದೈಮಳುಳಿಸುದ್ದಿಟ್ಟಲ ಈ ರವಿದಲ್ಲ ಜಾಗಾಯದ ಈ ಜಾಹಳಳಿಯು ವಾಯಾಲ್ಾ
[270s]	ಮೊಂದೋದಜ ಅರಡೊಜಕ್ಯಾಗು ಬಿಟ್ಟದುಗೆದಿಡ್ವರಾಂದ ಅವ ಿಧಾಲ ಗೊಗಲಾಗಳೆದ ಆರ ಹುಡು ವಿಸ್ದುನ ದೌಂಡು ಗಳಿಳಿಕದದ ಹುಳು ಲೈತೋಹದಲು ಗಳನ್ು ರಾಯಲದು ಬಳೆದಇಹೋದು ವೆಳೆಸರುಗೊಳ್ಳು ನ್ಯಾಹ್ಯಾನದೇ ಅನ್ವಾರ್ಣಡಜ್ಯಾಗಲ ಬಿ್ಶ್ ಮೊಂ್ದು ಇಿನಾದ ಒನ್ನುಹಿಡರಳದನದಲು ತಹ್ವೊ ಪ್ಯಾಕ್ರ್ ಬೊಯು ಮರ್ಟೊಂಡು ಮೈಟೆಲ್ ನೊರ್ಣುದು ದೈಕೋಸುತವವೂ ಒದುಜೆಲ್ಲಾಯಿಯಿಒಂದಿಸ್ತು ಮಲದ ಲಗವನ್ ರಂತನಾಗಿ ನೆರಳು ಮೇರೆ ವಿವಿಳರು ದಹಸುಗೆ ಸಾಮಿನೊನ್ತನ್ದ
[300s]	ಹುಳಿನೊ್ ಹಳಸ್ ಮೊತ ಯಾವಗಜಾಗಮಹು ರಾಹಿಗಳಿಹೋದು ಜೋಲಗಳಿಹೋವು ಯಭ್ಧಗಗಳಿಹುವಿಜಿಲೈಯರಾದೇ ಸಾಂಡಿಲ್ಗ ಸೂಕಾದ ರೈಲ್ಯಾನಿಸ್ ಸಿದ್ದ ನಾಸ್ ವಿಯಲ್ ೇಶಟಮಟಡಟಟ
