[0s]	ದದೊ್ಳ್ಳದೊದತೊತತೊಳಳ್್ಳತ್ಳತೊಲತೊತತತತತಹಹತ
[30s]	ಒಂದು ಪಾಮು ಬಂಧಿದಲ್ಲಿ ಸೊಯಲ್ಲಿ ಒಂದು ಎಕ್ಕರಜಾಗದಲ್ಲಿ ಎಷ್ಟು ಗಿಣಗಳಿನ ಹಾ ನಿದರೆ ಯಾವು ರೀತಿಯದಿನ್ನ ಪೋಷಸ್ತಾದರೆ ಎಸ್ಟು ಲಾಭ ವರತೆಯ ಪ್ರತಿಯೊಂದನ್ನೂ ನಿಮುತ್ತಿಲ್ಸ್ಥಿನಿ ಅದೆ ಅಂಕೂ ಮುಂಚೆ ಬಿಯನ್ನು ಫಾಮ ನ ಒಂದು ಸಲನೋಳಬನ್ನೆ ಚನಹಲವು ಬೀ ಯನ್ನ ಆರ್ಗ್ಞಾನಿ ಫ ಇಲ್ಲಿ ಕಂಪ್ಲನಟ ಒಂದು ಎಕ್ರೆಯಲ್ಲಿ ಸಾಡ್ಡಣ ನುಡ್ಗಿಡುಗಳ್ಿನ ಅಂದ್ರೆ ಗಂಧ
[60s]	ದ ಗಿಡಗಳಿನ ಹಾಕಿದರೆಸು ಯಾವ ರೀತಿ ಇದೆಯ ನೊದಲ ವಂತಸಳಲನೀರ್ಗೆಯಂತಯಲ್ಲಿ ಕೃಷಿ ಹೊಂಡನ ಮಾಡುಟೊಳಿದರೆ ಅಕಸ್ಮಾ ತಿನಾದರು ನೀರ್ಗೆ ಕೊರ್ತ್ಯಾಯಿತುವಂತಂದ್ರೆ ಸಮ್ಮರಲ್ಲಿ ವಿಲ್ಲಿಂದ ನೀರು ಖಂಡುತ್ವಗ್ಲೋರ್ಗೆ ಹಎೆಲ್ಪಾಗಿದ್ದೆ ಇವು ನೋಡ್ಬೋದು ಗಂಧದ ಗಿಡಗಳಿದೆ ಯಸ್ಟು ಮುದ್ದಾಗಿದೆಯಾಲ ಸಶಟ್ರೀಗಂದ ಅಂಧಿತಕ್ಶ್ನ ಗಮ ಅಂಗಿನಂಪಗೋಗತೆ ಅಂತಗರಲ್ಲಿ ಇದ್ರಒಂದು ಸ್ಪ್
[90s]	ಾಲೆಟಿ ಹೇಳ್ಬೇಕುವಂತಂದ್ರೆ ಈ ಗಿಡ ತಾನಾಗಿ ಬದ್ಕೋದುಕಾಗುದಿಲ್ಲ ಅಂದ್ರೆ ಸ್ರೀಗಂಧ ಬದಕಿಗ್ ಬೇಕುವಂತಂದ್ರೆ ಅದರ ಜ್ಯೊತೆಗೆ ಒಂದು ಪರಾವುನಂಬಿ ಗಿಡಾನನ ಪೊಡ್ಲೆಯಬೇಕುವೊಂದ್ರೆ ಪಕ್ಕದಲ್ಲಿ ಒಂದು ಗಿಡಾ ಇದ್ದಾಗ ಆಗಿಡದ ಸರತ್ವದಿಂದಾದೂ ಬದಕಿರುತ್ತೆಸೋಕೇವನ ನಿವಿನಾದು ಶ್ರೀಗಾಂಧದಗಿಡ ಹಾಕ್ನಿರಿಯಿಂತಂದ್ರೆ ಖಂಡಿತ್ವಾಗ್ನವದೂಳಿಯದಿಲ್ಲ ಅದಕೆ ಒಂದು ಸಪೋಟೆಂ್ ಹೊಸ್ ಪ್ಲ್ಯಾೆಂಟ್ ನನಿವು ಕೊಡ್ಳಲೆಬೇಕೂ ಆಗ ಮಾತ್ರಯ ಆ ಒೊಂದು ಗಿಡ ಯಸ್ತಿಚ್ಯನಾಗಿ ಬರುತ್ತು ಅಷಸ್ಟಿ
[120s]	ೇಜನ್ನಾಗಿ ನಿಮ್ಮ ಶ್ರೀಗಂದದಗಿಡ ಬೇಳಿಯುತ್ತೆ ಹದಿನ್ನೈದು ವರೈಿತಿಯ ಗಂಧಗಳಿದೆ ಇಡಿ ಪ್ರಪಂಶದಲ್ಲಿ ಅದರಲ್ಲಿ ನಮ್ಮ ಬಭಾರತ ಹಾಗೂ ಪಾಸ್ನೇಲಿಯನ್ ಸಾಂಡಲೇನಿದೆ ಆಸ್ಟ್ರೇಯಲಿನ್ ಗಂದ ಇವಿದೆ ಇದಿ ಎರಡು ಬಹಳ ಉತ್ತವುವಾಗಿದಯಂತ ಬಾವಸ್ಲಾಗಿ ತೈಡಿ ಪ್ರಪಂಶದಲ್ಲಿ ಮುಖ್ಯವಾಗಿ ನಮ್ಮ ಬಹಾರ್ತದ ಸಾಂಡಲ್ಗೆ ಬಹಳಷ್ಟು ಬೆಲೆಯಿದೆ ಚುನಾ ವಿಯೋಕಿಸ್ವುದು ನಾವೇನ ರೀಕೃಷಿನ ಮಾಡ ದರೇ ಎಸ್ಟು ಲಾಭದಲಿತ್ತಿವೆಯಂತ ಎಡ್ಸವಿದ ಒಂದಕ್ಕೆ ಮೊದ್ಲೂ ನಾವೆ
[150s]	ನಾದರ ಗಮಿಸದರೆ ತಾರಣಾಗೆ ಶ್ರೀಗಂದದಗಡ ಬೆಳೆದು ಪೂಡ ಅದು ಗೋರ್ಮಟ್ ಸ್ವತ್ತ ತಅಕ್ತಿತ್ತು ಆದರೆಈಗ ಇದಿನ ಪ್ರಮೋಟ್ ಮಾಡ್ಬೇಕುವಂತನೆ ಗೋರ್ಮೆಂಟವರು ಪ್ರೈವಿಟ್ಟ ಗು ಪೂಡ ನಿವು ಸಾಂಡಲುಡ್ ನಾಂಗ್ರೆ ಶ್ರೀಗಂಧವನ್ನ ಬೆಳೆಹೋದು ಆದರೆ ಎಲ್ಲ ಲೆಕ್ಕ ಚಾರಯಿ ನಿರ್ತೆಯದು ಗೋರ್ಮನಿದೌರ ಹೆಪರೈವತ್ತೆ ಜೊನೆ ಒೊಂದು ಗಿಡ ಹಾಕುದರು ಹೂಡಾಜು ಭೋರ್ಮೆಂಟವರಿಗೆ ರಜಿಸ್ಟರ್ ಆಗಿ್ಲೇಬೇಕುಒಬ್ಬೈಟ್ ಒಂದು ಭುಷ್ಯಾದ ವಿಷ್ಯೇನೂಂತನ ನೀವು ನಿಮ್ಮ ಫಾಮಲ್ಲಿ ನಿಮ್ಮ ಮನೆಯಲ್ಲಿ ಈ ಒಂದು ಶ್ರೀ ಹಂದ
[180s]	ದ ಗಿಡಾನ ಬೆಣಸ್ಸುವುದು ಇದಿನ್ನ ಮಿಭೇನಾದು ನಿಮ್ಮ ಮಕ್ಗಿಳಹಾಗಿ ಸಾಖಿದ್ರಿಯಿಂತಂದ್ರೆ ಯೂಶ್ವಲಗಿನವು ಹೇಳದೇನೊ ತಂದ್ರೆ ಮೂವತ್ತು ವರ್ಷ ಎನಾದರು ನವು ಈಗಿಡವನ್ನಹಾಕಿ ಕಾದ್ರೆ ಕಂಡಿತುವಾಗಲೂ ಆದ್ದುಭುತವಾದ ದೊಡ್ಡಸಿಗತೆ ಪೋರ್ಟ್ತಿಯಾದಿಶ್ವರಾಗ್ುವುದು ಆದರೆ ಅಕಸ್ಮಾತ್ ಈಗಿನ ಒಂದು ನವನೂ ಸೈಂಟಿರಫಿಕ್ ಮೆತೆರ್ಸ್ ನೂರತ ಇದವಿ ಇದು ನೆಲ್ಲನಾ ತಗುಂಟುವಂತಂದ್ರೆ ಚನಾ ಹಿಪೋಷಿಸ್ವಿಯಿಂತಂದರೆ ಹ ದಿನ್ನೈದು ವರ್ಷದಲ್ಲಿ ನಮಗೆ ಆವುದು ಲಾಭಸಿ
[210s]	ಿಗದು ವ್ಯಾರಂಟಿ ಅಂದ್ರೆ 3ೂವತ್ತು ವರ್ಷಯಲ್ಲಿ 1ೈದು ವರ್ಷಯಲ್ಲಿ ಅರ್ದ ಟಾ ಮಲ್ಲಿನಮಗೆ ಕಹಂಡಿತುವಾಗ್ಲೂ ಲಾಭಸಿಗತೆ ಸು ಈಗ ಈ ಫಾರ್ಮಲ್ಲಿನವೇನೂ ಈ ಗಿಡಗಳಿನ ನೋಡ್ತಾಯ್ದಿವಿ ಹಗ್ಗಿಣಗಳು ್ಮೊಸ್ ೊಂದು ಎರಡು ವರ್ಷಾಗಿದೆ ಹ ಕೀಸು ಕೆಲವೊಂದು ಎರಡುವರು ವರ್ಷದಾಗಿದೆ ಮೂರ್ವರ್ಷದಾಗಿದೆ ವಿರೀತ್ಯಾದಂತಹ ಮಿಕ್ಸ್ರ್ ಗೀಳಿಗಳ್ಿನ ನ ಅವಲಿ ನೂಡುಬುದು ಈನೋಂದಹ್್0 ವರ್ಷ ಸಾವರ್ಯುವ ಕೃಷಿ ಮಾಡಿದಿರುವದಿಂದ ರಬಹಳ ಚನ್ನಾಗಿ ನೋಡುಕೊಂಡು ಬೆಳೆಸಿದರುವಂತಂದ್ರೆ
[240s]	ಮಿನ್ನಿಮಮ್ಮನಟಂದ್ರೂ ಮೂರ್ುಕೋ್ಟಿ ದುಡ್ ಮಾರ್ತರೆ ಮಿನ್ನಿಮ ಮಂತೊಂದ್ರ್ಯ ಕಂದ್ರೆ ಅವಾಗವಾಗರೇಟ್ಸ್ ಬದ್ಲಾಕ್ಟ್ಯಾರಿತೆ ಬದ್ಸ್ಟಿಲ್ ಅ ಒಡ್ಡೆನಿದೆ ನಮ ಯೂಜಲಾಗಿ ಮರವನ ಕಟ್ ಮಾಡದಾಗ ಸಾಫಸ್ಟೃಡ್ ಸಿಗತೆ ಅದಕ್ಕೆ ಅಷ್ಟಾಗಿ ಬೆಲೆಯರುವದಿಲ್ಲ ಆದರೆ ಅದರ ಮಧ್ಯ ಯ ನಿರ್ತ ಹಾ ಟೊಡ್ ಇದಕ್ಕೆ ಬೆಲೆಯಿರತೆ ನಿಮ್ಮ ಒಂದು ಮರದ ಸುತ್ತು ಏನಾದರು ಆಕಾರಯನಿದದು ಎರಡು ವರಡಿಯಿತ್ತುಂತಂದ್ರೆ ಯಪ್ಪದ 8ಂಬತ್ ಕೇಜಿವರುಗೂ ನಿಮ್ ಗೆ ಒಂದು ಮಾರು
[270s]	ದಿಂದ ಹಾಟುಡ್ಿಸಿಗೃತ್ತೆ ಅದರ ಬೆಲೆಯ ನಿಯವ್ ಖಂಡಿತ್ವಾಗ್ನೂಲಕ ಹೊಳ್ುವುದು ಗಿಷ್ತು ಹಚ್ಚಾಗಿದಂತ ಇದಕ್ಕೆ ಮುಖ್ಯವಾಗಿ ಇನ್ನೊಂದು ವಿಶಯೇಳಬೇಕೊಂತಂದ್ರೆ ನಮ್ಮ ಗಂಧದ ಗುಳಿನಮ್ಮ ಕರ್ನಾಟಕ ಯಎನಿದೆ ನಮ್ಮ ಕ್ರ್ನಾಟಕದ ಈ ಗಂಡದ ಗ್ಯಂಡ್ನನ್ನ ನಮ್ಮ ರಾಜ ಸರ್ಕಾರನೆ ನಾಮಗೆ ಮಾರ್ದಯರಸ್ತಹರೇ ಟಿಸ್ಟುಗುತ್ತ ಒಂದಕಕೇಜಿಯೇ್ನೆಗೆ 5ದ ಲಕ್ಷ ರೂಪ  ಸಜಸ್ಟಿ ಮಯಾಜಿನ್ ಮಾಡ್ಕೋಳಿ ಅರ್ಧಗ್ರಾಂಬಂದು ಎರಡುವರು ಸಾವಿರ ಒಂದು ಗ್ರಾಂ ಬಂದು ಐ
[300s]	ದುಸ್ಹರೂಪಯಾಗಿರುತ್ವೆ ನೀವು ಈಕೃಷಿ ಮಾಟ್ತೀರಿಯಂತಂದ್ರೆ ಕೇವಲ ಒಂದೂವರೆ ಎರಡೊರ್ಶ ನೀವದುನ ಪೋಷಿಸ್ಪೇಕಾಗಿದೆ ಸ್ಥಾಟಿಂಗೆಲ್ಲಿ ಯಕೆಂದ ಚಿಕ್ಕದಿದ್ದಾಗ ಹುಳ ಅಥುವೈನ ರು ಫಾಂಗಸ್ಥಾಕ್ತುವಂತಂದ್ರೆ ಕ್ಲಸ್ಟಾಗತೆ ಮೂರ್ನೆಯ ವರ್ಷದಿಂದನಿ ಪೇವಲ ನ್ಯೂಡ್ ರಿಶ್ಯನ್ ಸ್ಕೂಡ್ತ ಅ ಹೋದಿನೆ ಸಾಕು ನಿಮಗೆ 10 ವರ್ಷದಲ್ಲಿ ಖಂಡಿತ್ವಾಗಳೂ ನಇವು ಕೋಟ್ತಿಯಾಧಿಪತಿಯಾಗುದು ಗ್ಯಾರೆಂಟಿ ಜ್ಯೋತ್ ನಲ್ಲಿ ಹೆಸರುವಾಸಿ ಕೂಡ ಾಗೊದಕ್ಕೆ ಶರುವ ಅಕ್ತಿದ ಶ್ರೀಘಂತದ ಗಿಡಾನನಯುಪೇವಲ ನೆಟ್ಟದೆರಿ
